"Time10MIN","WP_1","WP_2","WP_3","WP_4","WP_5","WP_6","TS_1","TS_2","TS_3","TS_4","TS_5","TS_6"
2024-09-27 07:40:00,-112.149025042991,-25.7985621885632,-121.981930546868,-74.6612922398647,-302.061588832266,-138.514584125048,18.13,21.2,18.54,19.09,18.4,19.1
2024-09-27 07:50:00,-112.459332759427,-24.648784191393,-122.319445155666,-74.8334042936813,-305.348297184214,-139.185983463469,18.1,23.2,18.48,19,18.36,19.01
2024-09-27 08:00:00,-112.562959347181,-23.7462755183105,-122.601420598306,-75.1269058373682,-307.748186527538,-140.086247651795,18,25.07,18.4,18.93,18.3,18.96
2024-09-27 08:10:00,-113.00443869243,-23.2860326701907,-122.91234441658,-75.2827547506337,-310.953537926872,-140.570924936357,18,26.43,18.4,18.9,18.3,18.9
2024-09-27 08:20:00,-113.212792403154,-23.1790430685325,-123.366005389049,-75.4215585134532,-314.192274665399,-140.992334808702,18,27.3,18.4,18.83,18.22,18.9
2024-09-27 08:30:00,-113.526043481962,-23.136384994901,-123.565008230802,-75.61283165563,-317.464744468137,-141.545316038207,18,27.9,18.4,18.8,18.2,18.97
2024-09-27 08:40:00,-113.630652999185,-23.1204084650758,-123.735837575942,-75.6825057284046,-319.591707765835,-141.969646984239,18,28.46,18.4,18.8,18.3,19.06
2024-09-27 08:50:00,-113.918826466761,-23.1683711822058,-123.963977472098,-75.7871372343405,-322.400348389685,-141.90428259754,18,28.88,18.44,18.9,18.3,19.23
2024-09-27 09:00:00,-114.050055889811,-23.3773620250364,-124.192538004775,-75.7871372343405,-325.908361182108,-141.936961028213,18.02,29.09,18.53,18.92,18.36,19.43
2024-09-27 09:10:00,-114.312968421435,-23.7408083657616,-124.306976252114,-75.9618446289081,-329.075464082042,-141.838948305323,18.1,29.1,18.63,19,18.41,19.68
2024-09-27 09:20:00,-114.550107855065,-24.4284269852467,-124.335602286729,-75.9968344071997,-331.127692299431,-141.838948305323,18.1,29,18.74,19.11,18.5,19.96
2024-09-27 09:30:00,-114.602872277739,-24.8196414010073,-124.421519949528,-76.0143353397937,-333.576542118416,-141.41500800261,18.2,29.16,18.87,19.23,18.6,20.28
2024-09-27 09:40:00,-114.86705918275,-24.9571794898973,-124.478831372375,-75.9968344071997,-335.579561666228,-141.284819929895,18.24,29.48,18.98,19.35,18.71,20.62
2024-09-27 09:50:00,-115.078847129291,-25.0781503891296,-124.593533427119,-76.0318403025904,-338.217054068533,-140.894974385166,18.31,29.8,19.11,19.5,18.83,20.95
2024-09-27 10:00:00,-115.264481879579,-25.2403575319968,-124.708341175026,-75.9793375038803,-341.50377003023,-140.473855511928,18.4,29.95,19.22,19.65,18.96,21.28
2024-09-27 10:10:00,-115.689915119737,-25.327685361495,-124.909509351022,-75.9618446289081,-343.159086015295,-140.118507416252,18.47,30.11,19.33,19.81,19.08,21.61
2024-09-27 10:20:00,-115.796518554483,-25.5208715952463,-124.938274139985,-75.9968344071997,-344.98125871102,-139.764058222858,18.54,30.2,19.43,19.96,19.23,21.92
2024-09-27 10:30:00,-115.9566079173,-25.6268662603676,-125.19745550827,-75.9618446289081,-346.892972996467,-139.764058222858,18.61,30.25,19.52,20.14,19.37,22.25
2024-09-27 10:40:00,-116.143658591615,-25.8104456015533,-125.428290285472,-75.9093901648003,-349.780426072874,-139.314237545861,18.7,30.3,19.61,20.32,19.54,22.56
2024-09-27 10:50:00,-116.223915505255,-25.959450930114,-125.601695628929,-75.9268709602952,-350.829013643647,-139.250095738869,18.79,30.38,19.7,20.48,19.68,22.86
2024-09-27 11:00:00,-116.652889948648,-26.1273583834324,-125.804304883239,-75.9793375038803,-352.691913609237,-139.121900706067,18.88,30.4,19.79,20.65,19.85,23.13
2024-09-27 11:10:00,-116.948727972209,-26.2298316049887,-125.949225848975,-75.9268709602952,-354.483073420565,-139.185983463469,18.97,30.4,19.87,20.82,20.01,23.4
2024-09-27 11:20:00,-117.19133522402,-26.4664384243166,-126.123351388889,-75.8744406467995,-356.529526536472,-138.961822864624,19.06,30.33,19.95,20.98,20.18,23.65
2024-09-27 11:30:00,-117.380377648347,-26.6867386465717,-126.414095741023,-75.9443557813554,-358.340175816601,-138.769972567535,19.15,30.26,20.01,21.15,20.35,23.89
2024-09-27 11:40:00,-117.786496047927,-26.9895412290115,-126.501449672248,-75.9618446289081,-360.408896227644,-138.833893218717,19.24,30.15,20.1,21.3,20.49,24.12
2024-09-27 11:50:00,-118.030841228949,-27.295779578,-126.822264174701,-76.0318403025904,-362.072468107099,-139.05784745307,19.34,29.96,20.19,21.46,20.63,24.32
2024-09-27 12:00:00,-118.194019555905,-27.5356607561393,-127.2903563909,-76.0318403025904,-364.498296058674,-139.21803591057,19.41,29.84,20.27,21.63,20.75,24.49
2024-09-27 12:10:00,-118.411941637948,-27.9380121854804,-127.6719531746,-76.1019004743686,-366.433779832188,-139.282162950066,19.5,29.62,20.33,21.75,20.86,24.65
2024-09-27 12:20:00,-118.739578362336,-28.281048229823,-127.966267422538,-76.1544879658279,-369.143735285267,-139.860637167303,19.59,29.33,20.4,21.89,20.96,24.8
2024-09-27 12:30:00,-118.931118271958,-28.4967611588205,-128.113678872994,-76.2422145499965,-371.018446322671,-140.215331290112,19.65,29.15,20.48,22.04,21.06,24.93
2024-09-27 12:40:00,-119.425069429022,-28.8267381012143,-128.497743850044,-76.2422145499965,-373.67625556285,-140.603296314733,19.72,28.92,20.5,22.16,21.14,25.01
2024-09-27 12:50:00,-119.78308729997,-29.1471101650708,-128.823621062254,-76.29489900047,-375.573985183477,-141.154751709625,19.8,28.65,20.6,22.31,21.2,25.1
2024-09-27 13:00:00,-120.031574360301,-29.2951349150849,-128.912640009614,-76.2773334731426,-377.394444211481,-141.675744147228,19.88,28.49,20.6,22.44,21.3,25.18
2024-09-27 13:10:00,-120.308275716067,-29.6207126062113,-129.209814336087,-76.3300421912896,-380.185459091497,-142.035041479283,19.96,28.31,20.7,22.55,21.33,25.2
2024-09-27 13:20:00,-120.641159450825,-30.0466115554517,-129.537497397472,-76.4179710061206,-383.438310527255,-142.855018722197,20.04,28.01,20.7,22.66,21.4,25.3
2024-09-27 13:30:00,-120.61338399518,-30.4996954253637,-129.985677597456,-76.4883869812479,-386.274022728811,-143.514407528835,20.15,27.62,20.75,22.76,21.42,25.3
2024-09-27 13:40:00,-121.002822971406,-30.9097507089248,-130.135415318647,-76.4707769067954,-387.789014904126,-144.077280493771,20.24,27.23,20.8,22.85,21.5,25.3
2024-09-27 13:50:00,-120.947111941052,-31.3181069184576,-130.46544575407,-76.6294136474499,-388.861997247287,-144.708986692398,20.3,26.86,20.8,22.93,21.5,25.3
2024-09-27 14:00:00,-121.44943603213,-31.7464744468137,-130.645814994365,-76.7000244581581,-391.467310783441,-145.20965795669,20.31,26.46,20.86,23,21.5,25.3
2024-09-27 14:10:00,-121.701379891808,-32.0475993411571,-130.977139830907,-76.8591367672039,-394.634911341192,-145.913509243545,20.4,26.19,20.9,23.08,21.5,25.3
2024-09-27 14:20:00,-122.150571277869,-32.3664823804517,-131.248848677129,-77.0718000802229,-396.273930412962,-146.384637784799,20.4,25.92,20.9,23.1,21.5,25.3
2024-09-27 14:30:00,-122.544973556026,-32.7714382970498,-131.309304925113,-77.267258324061,-399.296499078738,-147.263630321625,20.31,25.59,20.9,23.19,21.5,25.21
2024-09-27 14:40:00,-122.91234441658,-33.1661837435628,-131.702949894379,-77.4275473457716,-402.805602541133,-148.011514483762,20.3,25.16,20.9,23.2,21.5,25.2
2024-09-27 14:50:00,-123.451253046654,-33.5039106990896,-132.189056384413,-77.641783407092,-404.106189559551,-148.900275890453,20.27,24.74,20.9,23.2,21.5,25.1
2024-09-27 15:00:00,-123.707349626357,-33.7983502679543,-132.463279321635,-77.7133270743374,-407.001024507167,-149.725407045665,20.2,24.41,20.86,23.2,21.5,25.04
2024-09-27 15:10:00,-124.049638336885,-34.2764236854364,-132.585338712367,-77.9822034627913,-409.067995282897,-150.347254709478,20.1,24.06,20.8,23.2,21.42,24.97
2024-09-27 15:20:00,-124.507496982649,-34.6493827512922,-133.25867859091,-78.2159820369976,-412.188150331768,-151.006451582302,20.02,23.61,20.79,23.2,21.4,24.87
2024-09-27 15:30:00,-124.909509351022,-34.9780426072874,-133.535120433019,-78.4323996363964,-414.567738492203,-151.563805963581,19.94,23.21,20.7,23.2,21.33,24.77
2024-09-27 15:40:00,-125.399412679111,-35.1799730509368,-133.812135746911,-78.6494160466278,-416.577205633247,-152.438793364192,19.84,22.95,20.65,23.18,21.27,24.65
2024-09-27 15:50:00,-125.862253248731,-35.358635933359,-134.244191124397,-78.9215311617148,-418.789228105334,-152.755023881349,19.74,22.72,20.59,23.1,21.2,24.53
2024-09-27 16:00:00,-126.472324990253,-35.6037302887006,-134.615634463977,-79.121680423388,-420.722271353119,-153.42477760745,19.63,22.49,20.5,23.08,21.1,24.4
2024-09-27 16:10:00,-126.997596695196,-35.8092728667541,-135.019191297375,-79.3588749731292,-421.886377480902,-154.239462259547,19.52,22.26,20.41,23,21.01,24.26
2024-09-27 16:20:00,-127.319669453272,-36.0990275144114,-135.361607252212,-79.6334447090784,-424.224261624752,-155.058472882276,19.39,21.97,20.32,22.94,20.91,24.13
2024-09-27 16:30:00,-127.613171603361,-36.3492540190134,-135.798665595179,-80.0194390246347,-426.96817233369,-155.702470123752,19.27,21.69,20.23,22.87,20.81,23.95
2024-09-27 16:40:00,-128.084183004244,-36.5506834776256,-136.17441004592,-80.2593249156879,-429.136547058174,-156.49321126708,19.16,21.42,20.11,22.79,20.71,23.8
2024-09-27 16:50:00,-128.468159557246,-36.7363075670801,-136.425483755652,-80.5555565396454,-430.621294774821,-157.034654170726,19.04,21.19,20,22.69,20.59,23.65
2024-09-27 17:00:00,-129.061141639213,-36.9313771406933,-136.865977164966,-80.7784475615378,-434.405687275034,-157.904861998276,18.92,20.95,19.89,22.6,20.47,23.49
2024-09-27 17:10:00,-129.448046962968,-37.0762244358764,-137.339512799428,-81.0765952313201,-435.70796827876,-158.086761378558,18.78,20.73,19.78,22.5,20.36,23.34
2024-09-27 17:20:00,-129.836112168989,-37.3074445731594,-137.814686795752,-81.4508277913942,-437.517574193514,-158.999406211737,18.67,20.51,19.67,22.39,20.24,23.16
2024-09-27 17:30:00,-130.375354536894,-37.4882789146322,-137.878167420266,-81.7891137775678,-439.537063559103,-159.696538404528,18.55,20.29,19.56,22.26,20.1,23.01
2024-09-27 17:40:00,-130.675900768592,-37.7133839385135,-138.355205080321,-82.0154179573495,-440.753228768117,-160.470609603675,18.44,20.05,19.45,22.15,19.98,22.85
2024-09-27 17:50:00,-131.037470923528,-37.8700172057685,-138.418934680029,-82.2423483033704,-441.159364497522,-161.471359732552,18.34,19.81,19.34,22.04,19.86,22.69
2024-09-27 18:00:00,-131.309304925113,-38.0360581285913,-138.929829405966,-82.5078940899553,-442.176341862984,-162.030026278923,18.23,19.59,19.22,21.92,19.75,22.54
2024-09-27 18:10:00,-131.733279110939,-38.2204241606955,-139.410505657846,-82.7742972762405,-444.421951877004,-162.515767215189,18.13,19.37,19.12,21.8,19.63,22.38
2024-09-27 18:20:00,-132.189056384413,-38.3173532187611,-139.571100361917,-83.0415606306155,-444.524295595447,-162.890404750032,18.03,19.15,19.01,21.68,19.52,22.21
2024-09-27 18:30:00,-132.432782035666,-38.3703271832482,-139.925060203764,-83.3672551044311,-446.987627804546,-163.642272696721,17.92,18.96,18.89,21.57,19.39,22.05
2024-09-27 18:40:00,-132.829795015393,-38.485355484353,-140.247620780599,-83.7906390017132,-448.018040704511,-164.132846898169,17.82,18.78,18.77,21.45,19.27,21.9
2024-09-27 18:50:00,-133.166658543117,-38.6007286224978,-140.538561010908,-83.9644606157501,-448.430870655313,-164.586989846747,17.72,18.62,18.67,21.33,19.16,21.75
2024-09-27 19:00:00,-133.688946954542,-38.7789014904125,-140.927420387276,-84.2743676396261,-450.604477079414,-165.232510868365,17.62,18.44,18.56,21.18,19.05,21.62
2024-09-27 19:10:00,-133.873772704062,-38.966868186987,-141.349898977797,-84.4880919834491,-450.708244540801,-165.842372651734,17.52,18.25,18.47,21.06,18.94,21.46
2024-09-27 19:20:00,-134.460741667946,-39.1377182480823,-141.545316038207,-84.7413742043179,-450.708244540801,-166.26295785772,17.42,18.04,18.38,20.94,18.82,21.31
2024-09-27 19:30:00,-134.615634463977,-39.3183697474903,-141.806292440315,-84.9954157260764,-452.2676270766,-166.838202610782,17.31,17.83,18.29,20.82,18.71,21.15
2024-09-27 19:40:00,-135.050284194655,-39.5089513212866,-142.067750021768,-85.4270683013729,-453.205845114458,-167.338357715377,17.21,17.63,18.19,20.68,18.59,21.01
2024-09-27 19:50:00,-135.174727402549,-39.6273930412962,-142.395250008759,-85.584575801811,-454.355199592893,-167.685497011304,17.11,17.42,18.1,20.56,18.48,20.86
2024-09-27 20:00:00,-135.392779002756,-39.8378142614979,-142.559283005616,-85.9004625589212,-453.51901677457,-168.343170582235,17.02,17.24,18,20.44,18.39,20.73
2024-09-27 20:10:00,-135.673647983535,-39.8928902722517,-142.723504961192,-86.0984835761212,-456.137210630896,-168.770097946717,16.92,17.06,17.9,20.32,18.28,20.57
2024-09-27 20:20:00,-136.205768972773,-40.0401321744496,-142.920821039892,-86.4560724578353,-456.347317954494,-169.393016719616,16.82,16.9,17.81,20.17,18.17,20.44
2024-09-27 20:30:00,-136.519755697839,-40.1231944411148,-143.250287558678,-86.7352236036802,-457.39930716859,-170.253285844482,16.73,16.74,17.71,20.04,18.07,20.29
2024-09-27 20:40:00,-136.834466237059,-40.2434775669118,-143.217306758208,-87.035314393153,-458.45372146828,-170.370933277193,16.63,16.56,17.62,19.92,17.96,20.14
2024-09-27 20:50:00,-137.055195177297,-40.3641212829,-143.481365919496,-87.3967941713184,-458.559296493076,-170.921030452452,16.53,16.4,17.53,19.8,17.86,19.99
2024-09-27 21:00:00,-137.434416348634,-40.4571701922623,-143.911500843368,-87.6184371573136,-460.675910035896,-171.670432953959,16.43,16.24,17.43,19.66,17.76,19.85
2024-09-27 21:10:00,-137.466065436065,-40.5504336015135,-144.077280493771,-87.8001994442173,-461.419030597634,-172.105798435357,16.33,16.07,17.32,19.55,17.65,19.73
2024-09-27 21:20:00,-137.941677285421,-40.7001024507167,-144.309692884525,-88.0836905349353,-461.950564805348,-172.621744976802,16.23,15.92,17.23,19.43,17.54,19.57
2024-09-27 21:30:00,-138.132382459447,-40.7563705799254,-144.609059783229,-88.408801351887,-463.548844073333,-173.218990174058,16.13,15.75,17.13,19.3,17.44,19.44
2024-09-27 21:40:00,-138.546481958938,-40.8973814739453,-144.808982652477,-88.5514144052114,-463.655592428544,-173.578328696984,16.03,15.58,17.03,19.17,17.32,19.3
2024-09-27 21:50:00,-138.769972567535,-41.0105413792458,-145.142801833309,-88.9191909319996,-465.795729404599,-174.098689656203,15.93,15.44,16.94,19.05,17.21,19.16
2024-09-27 22:00:00,-139.21803591057,-41.1240143892905,-145.410411156418,-89.0421222324932,-465.581271928466,-174.902292695399,15.83,15.27,16.84,18.93,17.11,19.03
2024-09-27 22:10:00,-139.474721353348,-41.1998374374558,-145.44389699598,-89.3296232690662,-467.514949264708,-175.184429197798,15.73,15.15,16.75,18.79,17,18.89
2024-09-27 22:20:00,-139.828436772829,-41.3328643203841,-145.678513888425,-89.5149353693549,-468.161291410997,-175.547844975504,15.63,15,16.65,18.66,16.89,18.74
2024-09-27 22:30:00,-139.925060203764,-41.5140880810541,-145.846329059291,-89.721288606909,-467.945744804103,-175.871514074997,15.53,14.81,16.55,18.54,16.79,18.61
2024-09-27 22:40:00,-140.215331290112,-41.6193700485496,-146.21620321973,-90.0317107308387,-470.864016041288,-176.561293744367,15.44,14.64,16.46,18.42,16.68,18.47
2024-09-27 22:50:00,-140.570924936357,-41.7249190167957,-146.587015400998,-90.2808215416819,-470.538867017462,-177.131378482887,15.35,14.45,16.36,18.3,16.57,18.35
2024-09-27 23:00:00,-140.862535853163,-41.840368654754,-146.65453676247,-90.6349088739088,-473.037425588977,-177.417110744141,15.25,14.31,16.27,18.18,16.47,18.22
2024-09-27 23:10:00,-141.122253368569,-41.8596412939325,-146.857287515581,-90.8856886875656,-473.80048662553,-178.153969090454,15.18,14.17,16.17,18.06,16.36,18.08
2024-09-27 23:20:00,-141.382449742227,-41.9754636980576,-146.958767981967,-91.2001394601221,-474.346283720086,-178.811523083508,15.09,14.06,16.07,17.94,16.26,17.95
2024-09-27 23:30:00,-141.773644093733,-41.9947985651301,-147.161939336515,-91.368291151285,-475.002070226135,-179.14120964083,15,13.94,15.97,17.82,16.15,17.83
2024-09-27 23:40:00,-141.969646984239,-42.0141423382885,-147.331463347541,-91.7477668830268,-476.31636437767,-179.802407470557,14.9,13.85,15.87,17.68,16.05,17.68
2024-09-27 23:50:00,-142.133189705334,-42.0916065738561,-147.603108049732,-91.7688950194341,-477.524328380012,-180.299906886629,14.82,13.74,15.77,17.57,15.94,17.56
2024-09-28,-142.362466065297,-42.1789245735664,-147.637098834543,-92.0652003160932,-477.524328380012,-180.673934596635,14.73,13.64,15.67,17.45,15.83,17.43
2024-09-28 00:10:00,-142.690645442935,-42.2275128193229,-148.011514483762,-92.4050066106047,-478.625135644917,-180.965381387847,14.64,13.52,15.57,17.32,15.73,17.27
2024-09-28 00:20:00,-143.085459471208,-42.2956304099403,-148.421050946947,-92.5540659795103,-480.170530332036,-181.633312109479,14.55,13.42,15.48,17.18,15.62,17.15
2024-09-28 00:30:00,-143.283275954131,-42.3638578816717,-148.660470313905,-92.8315287417931,-481.831847932222,-181.968201384688,14.45,13.31,15.39,17.06,15.52,17.03
