"Option","Sp","IDplant","Chamber","Timehour","round","Cycle","Time10MIN","Pr","Status","BattV","Flow_mean","PAR_ext","HR_ext","T_ext","VPD_ext","Tc","HRc","PARc","VPDc","WP","E","A","Tleaf","VPDleaf","gtotal","gs","WPgroup","VPDgroup","WUE","vpc"
"3d","fag","fag01",4,2024-09-02 14:00:00,4,7,2024-09-02 14:20:00,956.958333333333,1,12.9543333333333,33.2907222222222,650.991666666667,50.24425,31.0255833333333,22.5070725067725,38.2,56.923,528.7,28.9816105610268,-0.0979931012856695,5.24938590802487,10.4795560720975,36.1528336001652,21.8880048491294,217.697252703545,561.900928096458,"(0, -0.1 MPa)",NA,1.99633943011832,38.2970081009664
"3d","fag","fag01",4,2024-09-03 13:00:00,4,62,2024-09-03 12:53:20,960.180555555556,1,13.3886666666667,35.6742962962963,535.713888888889,88.5594944444445,21.2317611111111,2.92495288045643,26.4456666666667,78.8603333333333,622.45,7.71763341756631,-0.0979931012856695,1.7307560726273,12.9926496385008,27.3935773768952,9.68521090342122,140.576745290864,350.353379525146,"(0, -0.1 MPa)",NA,7.50692130681238,27.3303655996664
"3d","fag","fag01",4,2024-09-03 14:00:00,4,64.5,2024-09-03 13:50:00,959.972222222222,1,13.36,33.5769722222222,622.658333333333,78.9001666666666,22.8538333333333,5.94104231237371,30.006,70.635,603.7,13.1237753973631,-0.0979931012856695,3.25148978174536,13.8801800247268,29.4183858380026,11.6035589344532,262.685128648409,1030.67440473521,"(0, -0.1 MPa)","VPD 1-2 kPa",4.26886779797169,30.1124543674964
"3d","fag","fag01",4,2024-09-05 11:00:00,4,141,2024-09-05 11:20:00,953,1,12.0406666666667,35.9268743624281,1852.45,51.0925,21.4971666666667,12.5916548591711,34.039,53.016,1713.7,25.1596219761001,-0.0979931012856695,6.98823005353382,13.6496496832661,34.1070910757795,25.3630387369388,251.26200573146,857.598176948727,"(0, -0.1 MPa)",NA,1.95323416354385,28.3897181739512
"3d","fag","fag01",4,2024-09-06 12:00:00,4,193.5,2024-09-06 11:55:00,941.714285714286,1,12.5858333333333,37.1120272138739,712.842857142857,72.0653428571429,22.6893857142857,7.73770036370073,29.3625,69.5605,687.45,12.5090088103276,-0.0979931012856695,3.02244960798732,16.6191818371509,29.1822004670965,12.0831670561567,227.021632788185,629.85634676254,"(0, -0.1 MPa)","VPD 1-2 kPa",5.49858028839652,28.5766146107547
"3d","fag","fag01",4,2024-09-06 13:00:00,4,195,2024-09-06 12:30:00,941,1,11.952,38.7318850574713,695.783333333333,71.43425,23.36675,8.23913603646277,29.749,69.231,682.45,12.9249128982243,-0.0979931012856695,3.05696708993528,16.5870135811362,29.5255695631104,12.3882246563481,223.500148142712,602.261651495155,"(0, -0.1 MPa)","VPD 1-2 kPa",5.42597060849856,29.0813690681194
"3d","fag","fag01",4,2024-09-07 08:00:00,4,244,2024-09-07 08:10:00,944,1,12.0796666666667,38.6364731800766,838.283333333333,66.8331666666667,21.1148333333333,8.34648334829183,31.765,61.368,1018.7,18.2066558088385,-0.0979931012856695,5.0297262374539,16.5057752766168,31.1615017068637,16.6193110169498,274.427601431033,1204.69407805005,"(0, -0.1 MPa)","VPD 1-2 kPa",3.28164486442749,28.9217760839925
"3d","fag","fag01",4,2024-09-07 09:00:00,4,246,2024-09-07 09:00:00,944,1,12.03,36.599,1169.11666666667,62.4168333333333,22.205,10.1071535352634,34.768,56.874,1351.2,24.0480275885651,-0.0979931012856695,6.52012568557699,15.50791845597,34.1597758610742,22.1963864854212,264.721301609768,1037.67199544542,"(0, -0.1 MPa)",NA,2.37846925102605,31.7142216081262
"3d","fag","fag01",4,2024-09-08 09:00:00,4,287,2024-09-08 08:40:00,943.958333333333,1,12.047,36.8399854735392,1190.36666666667,64.2853333333333,20.986,8.91419930121998,32.237,58.535,1093.7,20.0703798192552,-0.0979931012856695,5.60977651476615,16.1810863149872,31.4654493784134,18.001833281877,282.52463985793,1378.07061694047,"(0, -0.1 MPa)","VPD 1-2 kPa",2.88444401882946,28.3328031525408
"3d","fag","fag01",4,2024-09-08 11:00:00,4,289,2024-09-08 10:40:00,942.888888888889,1,12.0576666666667,33.2309325396825,1383.28333333333,54.3636666666667,23.9103333333333,13.6075449967004,35.755,55.043,1528.7,26.4726549638323,-0.0979931012856695,7.00248953102682,14.2711241024857,35.3293464470492,25.1081101454859,250.424945020186,847.924455913506,"(0, -0.1 MPa)",NA,2.03800720290303,32.4117344834891
"3d","fag","fag01",4,2024-09-08 12:00:00,4,290,2024-09-08 11:30:00,943,1,14.28,35.4610336752334,982.985714285714,50.6741428571429,23.9311428571429,14.7445731682871,29.148,61.563,1091.2,15.596276944163,-0.0979931012856695,4.211929108845,11.6803124843166,29.3487243355558,16.06911293991,238.519356004124,725.336847316092,"(0, -0.1 MPa)","VPD 1-2 kPa",2.77315030297829,24.9799307311577
"3d","fag","fag01",4,2024-09-09 08:00:00,4,331,2024-09-09 07:30:00,948.333333333333,1,12.04,38.1119854735392,619.95,62.9041666666667,18.0978333333333,7.73569743548368,25.201,63.736,536.2,11.6747055635351,-0.0979931012856695,3.11043253944299,14.0150108173131,24.3807836814921,10.1363730451496,283.152543608933,1393.13954547567,"(0, -0.1 MPa)","VPD 1-2 kPa",4.50580767773953,20.5189453396612
"3d","fag","fag01",4,2024-09-09 09:00:00,4,335,2024-09-09 09:00:00,947.25,1,12.04,36.5473188068725,1246.2,53.9005,21.3221666666667,11.7429796237963,31.765,54.921,1101.2,21.2450258129693,-0.0979931012856695,5.6710587080938,15.2410446529251,30.9294214876044,19.0597408485313,271.309018954445,1146.82594154946,"(0, -0.1 MPa)","VPD 1-2 kPa",2.68751311482156,25.8834060798617
"3d","fag","fag01",4,2024-09-09 11:00:00,4,340,2024-09-09 11:00:00,946,1,12.04,35.9887076957614,1634.11666666667,47.00625,24.2373333333333,16.1078699114104,34.146,50.2075,1527.45,26.8192661671292,-0.0979931012856695,5.97655513268287,12.6146901820101,34.4187211029254,27.63957894475,195.717320425879,435.625875489032,"(0, -0.1 MPa)",NA,2.11069586106995,27.0464262230002
"3d","fag","fag01",4,2024-09-09 12:00:00,4,342,2024-09-09 11:50:00,945.319444444444,1,12.04,35.7507076957614,1653.075,45.9364166666667,24.8938611111111,17.0919213055594,35.2113333333333,50.468,1562.45,28.3444618111784,-0.0979931012856695,6.72613627516003,12.4495228432355,35.0343523343748,27.7922710255629,219.6929554537,593.309672925913,"(0, -0.1 MPa)",NA,1.85091742628116,28.8406495514717
"3d","fag","fag01",4,2024-09-09 13:00:00,4,345,2024-09-09 13:00:00,944.25,1,12.04,35.2319299179836,1554.11666666667,44.0735,25.8834166666667,18.7541971659978,35.0895,52.7715,1499.95,26.8073839831681,-0.0979931012856695,7.07937832365601,11.7890066689953,34.5117558531919,25.0198010996853,255.160807044976,904.784864384783,"(0, -0.1 MPa)",NA,1.66526015845232,29.9547341089837
"3d","fag","fag01",4,2024-09-09 14:00:00,4,347,2024-09-09 13:50:00,944,1,12.04,35.3085410290947,1409.325,39.9803333333333,26.18175,20.4871462207232,35.712,47.424,1374.95,30.8859184984396,-0.0979931012856695,6.70787544051673,13.2321219582179,34.9735223356064,28.5409055247249,211.963592504095,525.229597213495,"(0, -0.1 MPa)",NA,1.97262487587256,27.8593616644477
"3d","fag","fag01",4,2024-09-09 15:00:00,4,349.5,2024-09-09 14:50:00,944,1,12.0395,35.400513251317,223.908333333333,41.48325,25.95325,19.7010954627212,31.1,52.5765,704.95,21.9034741107487,-0.0979931012856695,4.58422615450956,10.0098161530056,29.6932351702678,18.4102204433782,210.825438343569,766.085156004393,"(0, -0.1 MPa)","VPD 1-2 kPa",2.18353454119161,23.86024750221
"3d","fag","fag01",4,2024-09-10 08:00:00,4,392,2024-09-10 07:53:20,942.67297979798,1,12.04,36.3281336216874,811.313636363636,54.2878535353535,20.0809242424242,10.7970373699128,27.132,56.2556666666667,684.533333333333,15.8122807377126,-0.0979931012856695,3.57426835002228,11.411941798675,26.4703088047882,14.4352616654498,232.322432370298,904.481769754814,"(0, -0.1 MPa)","VPD 1-2 kPa",3.19280498304049,20.2992078785678
